epoch,step,train/loss,train/reward,val/reward
0,7,,,-114.46099853515625
1,15,,,-118.08100128173828
2,23,,,-114.0790023803711
3,31,,,-113.39700317382812
4,39,,,-112.33200073242188
5,47,,,-112.87899780273438
6,49,-19.160869598388672,-112.69140625,
6,55,,,-111.5999984741211
7,63,,,-111.5260009765625
8,71,,,-111.3479995727539
9,79,,,-111.16500091552734
10,87,,,-110.9260025024414
11,95,,,-110.84400177001953
12,99,-22.840662002563477,-112.35546875,
12,103,,,-112.15499877929688
13,111,,,-110.79399871826172
14,119,,,-113.02400207519531
15,127,,,-110.87100219726562
16,135,,,-112.2030029296875
17,143,,,-110.92900085449219
18,149,-99.72489929199219,-113.0078125,
18,151,,,-114.15299987792969
19,159,,,-113.7959976196289
20,167,,,-111.24400329589844
21,175,,,-110.98600006103516
22,183,,,-111.0250015258789
23,191,,,-110.76499938964844
24,199,-23.860422134399414,-111.3221206665039,
24,199,,,-110.89800262451172
25,207,,,-110.68599700927734
26,215,,,-111.65299987792969
27,223,,,-112.5530014038086
28,231,,,-110.48100280761719
29,239,,,-111.125
30,247,,,-110.31900024414062
31,249,-25.87221908569336,-112.07421875,
31,255,,,-111.38099670410156
32,263,,,-110.55400085449219
33,271,,,-110.88300323486328
34,279,,,-110.44499969482422
35,287,,,-110.68299865722656
36,295,,,-110.46600341796875
37,299,-11.92652416229248,-112.03125,
37,303,,,-110.34400177001953
38,311,,,-110.6240005493164
39,319,,,-110.4209976196289
40,327,,,-110.14199829101562
41,335,,,-110.07599639892578
42,343,,,-110.49199676513672
43,349,-22.709606170654297,-111.60546875,
43,351,,,-110.552001953125
44,359,,,-110.5739974975586
45,367,,,-110.52999877929688
46,375,,,-110.91200256347656
47,383,,,-110.35099792480469
48,391,,,-110.38800048828125
49,399,-33.8218994140625,-111.33173370361328,
49,399,,,-110.53600311279297
50,407,,,-110.51100158691406
51,415,,,-110.68099975585938
52,423,,,-110.50499725341797
53,431,,,-110.73400115966797
54,439,,,-110.56700134277344
55,447,,,-110.8759994506836
56,449,-76.83850860595703,-112.609375,
56,455,,,-110.7249984741211
57,463,,,-110.84300231933594
58,471,,,-110.49600219726562
59,479,,,-110.28800201416016
60,487,,,-110.15799713134766
61,495,,,-110.62100219726562
62,499,-9.987526893615723,-112.71484375,
62,503,,,-110.55699920654297
63,511,,,-110.60199737548828
64,519,,,-110.2300033569336
65,527,,,-110.37100219726562
66,535,,,-110.95600128173828
67,543,,,-110.28299713134766
68,549,-24.66009521484375,-111.5234375,
68,551,,,-110.04000091552734
69,559,,,-110.91999816894531
70,567,,,-110.80799865722656
71,575,,,-110.41400146484375
72,583,,,-110.36299896240234
73,591,,,-110.52799987792969
74,599,-19.38132667541504,-111.1346206665039,
74,599,,,-110.77899932861328
75,607,,,-110.4010009765625
76,615,,,-110.22599792480469
77,623,,,-110.20999908447266
78,631,,,-110.40299987792969
79,639,,,-110.16799926757812
80,647,,,-110.50199890136719
81,649,-12.145169258117676,-111.46484375,
81,655,,,-111.00700378417969
82,663,,,-110.88700103759766
83,671,,,-111.03399658203125
84,679,,,-110.17500305175781
85,687,,,-110.39399719238281
86,695,,,-110.2760009765625
87,699,-9.424891471862793,-110.6015625,
87,703,,,-110.4280014038086
88,711,,,-110.51100158691406
89,719,,,-110.3759994506836
90,727,,,-110.40899658203125
91,735,,,-110.36100006103516
92,743,,,-110.43499755859375
93,749,-9.439769744873047,-110.73828125,
93,751,,,-110.27799987792969
94,759,,,-111.03600311279297
95,767,,,-111.38200378417969
96,775,,,-111.11299896240234
97,783,,,-110.33699798583984
98,791,,,-110.76699829101562
99,799,-32.075599670410156,-111.74519348144531,
99,799,,,-110.87000274658203
100,807,,,-110.822998046875
101,815,,,-110.69400024414062
102,823,,,-110.51399993896484
103,831,,,-110.3499984741211
104,839,,,-110.58000183105469
105,847,,,-110.58799743652344
106,849,-24.125011444091797,-111.25390625,
106,855,,,-110.20800018310547
107,863,,,-110.22899627685547
108,871,,,-110.58699798583984
109,879,,,-110.38700103759766
110,887,,,-110.80999755859375
111,895,,,-110.51499938964844
112,899,-18.684471130371094,-112.14453125,
112,903,,,-111.0770034790039
113,911,,,-111.13400268554688
114,919,,,-110.5719985961914
115,927,,,-110.61199951171875
116,935,,,-110.66500091552734
117,943,,,-110.35199737548828
118,949,-45.86276626586914,-110.16015625,
118,951,,,-110.77400207519531
119,959,,,-111.74600219726562
120,967,,,-110.8030014038086
121,975,,,-110.4990005493164
122,983,,,-110.38099670410156
123,991,,,-110.52300262451172
124,999,-36.89202880859375,-113.02404022216797,
124,999,,,-110.55599975585938
125,1007,,,-110.49500274658203
126,1015,,,-110.89700317382812
127,1023,,,-110.99199676513672
128,1031,,,-111.21199798583984
129,1039,,,-111.11100006103516
130,1047,,,-110.63500213623047
131,1049,-18.033313751220703,-111.57421875,
131,1055,,,-110.38700103759766
132,1063,,,-110.12999725341797
133,1071,,,-110.64700317382812
134,1079,,,-110.48300170898438
135,1087,,,-110.20999908447266
136,1095,,,-110.35600280761719
137,1099,-29.9647159576416,-110.84765625,
137,1103,,,-110.22200012207031
138,1111,,,-110.28299713134766
139,1119,,,-110.36299896240234
140,1127,,,-110.61399841308594
141,1135,,,-110.31700134277344
142,1143,,,-110.66899871826172
143,1149,-21.65304946899414,-110.23828125,
143,1151,,,-110.43800354003906
144,1159,,,-110.31600189208984
145,1167,,,-110.6719970703125
146,1175,,,-110.5009994506836
147,1183,,,-111.01799774169922
148,1191,,,-111.29900360107422
149,1199,-26.30963897705078,-111.51923370361328,
149,1199,,,-110.5510025024414
150,1207,,,-111.36799621582031
151,1215,,,-111.26300048828125
152,1223,,,-111.09200286865234
153,1231,,,-110.44100189208984
154,1239,,,-110.29199981689453
155,1247,,,-110.40399932861328
156,1249,-20.472259521484375,-111.01953125,
156,1255,,,-110.68199920654297
157,1263,,,-110.66500091552734
158,1271,,,-110.49400329589844
159,1279,,,-110.2699966430664
160,1287,,,-110.35800170898438
161,1295,,,-110.43800354003906
162,1299,-19.837146759033203,-111.12890625,
162,1303,,,-110.2490005493164
163,1311,,,-110.3550033569336
164,1319,,,-110.70800018310547
165,1327,,,-110.7249984741211
166,1335,,,-110.38300323486328
167,1343,,,-110.24099731445312
168,1349,-36.89647674560547,-111.36328125,
168,1351,,,-110.65499877929688
169,1359,,,-110.4469985961914
170,1367,,,-110.58200073242188
171,1375,,,-110.32099914550781
172,1383,,,-110.6729965209961
173,1391,,,-110.65899658203125
174,1399,-14.063660621643066,-110.10577392578125,
174,1399,,,-110.677001953125
175,1407,,,-110.4469985961914
176,1415,,,-110.29100036621094
177,1423,,,-110.11799621582031
178,1431,,,-110.39600372314453
179,1439,,,-111.25599670410156
180,1447,,,-111.06199645996094
181,1449,-20.993135452270508,-110.94921875,
181,1455,,,-110.47599792480469
182,1463,,,-110.82599639892578
183,1471,,,-110.97100067138672
184,1479,,,-110.20099639892578
185,1487,,,-110.06199645996094
186,1495,,,-110.50199890136719
187,1499,5.7237725257873535,-111.4765625,
187,1503,,,-110.58799743652344
188,1511,,,-110.49700164794922
189,1519,,,-110.3479995727539
190,1527,,,-110.45099639892578
191,1535,,,-110.87699890136719
192,1543,,,-111.08899688720703
193,1549,-54.511940002441406,-111.92578125,
193,1551,,,-110.8489990234375
194,1559,,,-110.64800262451172
195,1567,,,-109.98899841308594
196,1575,,,-110.01799774169922
197,1583,,,-110.04399871826172
198,1591,,,-110.38500213623047
199,1599,-41.31254959106445,-110.49038696289062,
199,1599,,,-111.18099975585938
